Trade_Date,Company_Name,Symbol,Series,Market_Status,Prev_Close,Open,High,Low,Close,Last_Price,Daily_Return_%,Intraday_Range,Intraday_Range_%,Open_to_Close_%
2026-09-08,ABBOTT INDIA LIMITED          ,ABBOTINDIA,EQ,N,25940.0,25860.0,26065.0,25440.0,25555.0,25600.0,-1.4842,625.0,2.4094,-1.1794
2026-09-08,ADITYA BIRLA CAPITAL LTD.     ,ABCAPITAL ,EQ,N,403.25,400.0,401.0,394.45,396.95,396.95,-1.5623,6.55,1.6243,-0.7625
2026-09-08,A B COTSPIN INDIA LIMITED     ,ABCOTS    ,EQ,N,212.01,214.7,214.7,203.1,207.99,209.75,-1.8961,11.6,5.4714,-3.1253
2026-09-08,ALLIED BLEND N DISTILS L      ,ABDL      ,EQ,N,600.0,600.95,603.0,591.35,594.5,595.0,-0.9167,11.65,1.9417,-1.0733
2026-09-08,ADITYA BIRLA FASHION & RT     ,ABFRL     ,EQ,N,53.21,53.07,53.07,51.63,52.24,52.19,-1.823,1.44,2.7063,-1.564
2026-09-08,BIRLASLAMC - ABGSEC           ,ABGSEC    ,EQ,N,114.51,114.61,114.61,113.73,114.17,113.73,-0.2969,0.88,0.7685,-0.3839
2026-09-08,ADITYA BIRLA LIFES BRAN L     ,ABLBL     ,EQ,N,85.55,85.29,85.56,84.05,84.52,84.43,-1.204,1.51,1.765,-0.9028
2026-09-08,A B M KNOWLEDGEWARE LTD.      ,ABMKNO    ,EQ,N,189.64,189.98,189.98,183.6,187.13,183.6,-1.3236,6.38,3.3643,-1.5002
2026-09-08,ADITYA BIRLA REAL EST LTD     ,ABREL     ,EQ,N,1377.8,1379.8,1380.0,1358.1,1372.1,1371.6,-0.4137,21.9,1.5895,-0.5581
2026-09-08,BIRLASLAMC - ABSL10BANK       ,ABSL10BANK,EQ,N,165.62,166.75,167.72,166.75,167.31,167.31,1.0204,0.97,0.5857,0.3358
2026-09-08,ADIT BIRL SUN LIF AMC LTD     ,ABSLAMC   ,EQ,N,1041.9,1040.0,1045.6,1024.1,1037.8,1035.0,-0.3935,21.5,2.0635,-0.2115
2026-09-08,BIRLASLAMC - ABSLBANETF       ,ABSLBANETF,EQ,N,58.66,58.5,58.62,58.3,58.31,58.42,-0.5967,0.32,0.5455,-0.3248
2026-09-08,BIRLASLAMC - ABSLLIQUID       ,ABSLLIQUID,EQ,N,1000.0,1000.0,1000.01,999.99,1000.0,1000.0,0.0,0.02,0.002,0.0
2026-09-08,BIRLASLAMC - ABSLMSCIN        ,ABSLMSCIN ,EQ,N,29.23,29.37,29.55,29.03,29.34,29.34,0.3763,0.52,1.779,-0.1021
2026-09-08,BIRLASLAMC - ABSLNN50ET       ,ABSLNN50ET,EQ,N,77.15,76.83,77.15,76.11,76.85,77.15,-0.3889,1.04,1.348,0.026
2026-09-08,BIRLASLAMC-ABSLPSE            ,ABSLPSE   ,EQ,N,10.11,10.09,10.18,9.99,10.13,10.13,0.1978,0.19,1.8793,0.3964
2026-09-08,ACC LIMITED                   ,ACC       ,EQ,N,1268.7,1267.9,1268.0,1255.7,1262.8,1266.5,-0.465,12.3,0.9695,-0.4022
2026-09-08,ACCELYA SOLN INDIA LTD        ,ACCELYA   ,EQ,N,1127.1,1122.4,1133.0,1121.0,1124.4,1121.0,-0.2396,12.0,1.0647,0.1782
2026-09-08,ACTION CONST EQUIP LTD        ,ACE       ,EQ,N,1113.2,1122.2,1148.0,1105.0,1121.2,1116.3,0.7186,43.0,3.8627,-0.0891
2026-09-08,ACE INTEGRATED SOLU. LTD.     ,ACEINTEG  ,EQ,N,17.54,17.17,18.39,17.17,17.37,17.5,-0.9692,1.22,6.9555,1.1648
2026-09-08,AUTOMOBILE CORPN OF GOA L     ,ACGL      ,EQ,N,1799.4,1822.0,1822.0,1762.7,1780.5,1775.0,-1.0504,59.3,3.2955,-2.2777
2026-09-08,ARCHEAN CHEMICAL IND LTD      ,ACI       ,EQ,N,509.35,512.0,512.0,483.65,484.7,484.75,-4.8395,28.35,5.5659,-5.332
2026-09-08,ANDHRA CEMENTS LIMITED        ,ACL       ,EQ,N,43.49,43.96,43.97,42.0,42.29,42.28,-2.7593,1.97,4.5298,-3.7989
2026-09-08,ACME SOLAR HOLDINGS LTD       ,ACMESOLAR ,EQ,N,413.15,413.15,417.65,404.45,412.6,412.0,-0.1331,13.2,3.195,-0.1331
2026-09-08,ACUTAAS CHEMICALS LIMITED     ,ACUTAAS   ,EQ,N,3181.6,3181.6,3235.5,3161.5,3182.1,3178.0,0.0157,74.0,2.3259,0.0157
2026-09-08,ADANI ENERGY SOLUTION LTD     ,ADANIENSOL,EQ,N,1390.4,1390.4,1412.0,1370.0,1407.7,1407.7,1.2442,42.0,3.0207,1.2442
2026-09-08,ADANI ENTERPRISES LIMITED     ,ADANIENT  ,EQ,N,2950.0,2933.0,2968.8,2918.0,2953.1,2953.1,0.1051,50.8,1.722,0.6853
2026-09-08,ADANI GREEN ENERGY LTD        ,ADANIGREEN,EQ,N,1288.0,1288.0,1301.3,1275.5,1292.0,1292.0,0.3106,25.8,2.0031,0.3106
2026-09-08,ADANI PORT & SEZ LTD          ,ADANIPORTS,EQ,N,1694.3,1694.0,1713.1,1685.2,1710.0,1710.0,0.9266,27.9,1.6467,0.9445
